timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691210677656,377,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-94,text,true,,806,460,18,18,https://product_catalog-1-f3543029.deta.app/products,49,0,28
1691210677656,49,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-94,text,true,,361,230,18,18,http://product_catalog-1-f3543029.deta.app/products,49,0,28
1691210677705,328,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-94,text,true,,445,230,18,18,https://product_catalog-1-f3543029.deta.app/products,328,0,72
1691210677652,383,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-99,text,true,,806,460,18,18,https://product_catalog-1-f3543029.deta.app/products,52,0,32
1691210677652,52,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-99,text,true,,361,230,18,18,http://product_catalog-1-f3543029.deta.app/products,52,0,32
1691210677704,331,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-99,text,true,,445,230,18,18,https://product_catalog-1-f3543029.deta.app/products,331,0,73
1691210677657,378,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-95,text,true,,806,460,18,18,https://product_catalog-1-f3543029.deta.app/products,55,0,35
1691210677657,55,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-95,text,true,,361,230,18,18,http://product_catalog-1-f3543029.deta.app/products,55,0,35
1691210677713,322,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-95,text,true,,445,230,18,18,https://product_catalog-1-f3543029.deta.app/products,322,0,64
1691210677656,398,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-98,text,true,,806,460,18,18,https://product_catalog-1-f3543029.deta.app/products,55,0,33
1691210677656,55,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-98,text,true,,361,230,18,18,http://product_catalog-1-f3543029.deta.app/products,55,0,33
1691210678035,19,Product Catalog/Create products,429,Too Many Requests,Load Test Scenario 3 1-99,text,false,,321,356,18,18,http://product_catalog-1-f3543029.deta.app/products,19,0,0
1691210677711,343,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-98,text,true,,445,230,18,18,https://product_catalog-1-f3543029.deta.app/products,343,0,66
1691210678054,19,Product Catalog/Update products,429,Too Many Requests,Load Test Scenario 3 1-99,text,false,,321,403,18,18,http://product_catalog-1-f3543029.deta.app/products/3,19,0,0
1691210677654,429,Product Catalog/Get products/products,502,Bad Gateway,Load Test Scenario 3 1-89,text,false,,967,460,18,18,https://product_catalog-1-f3543029.deta.app/products,45,0,29
1691210677654,45,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-89,text,true,,361,230,18,18,http://product_catalog-1-f3543029.deta.app/products,45,0,29
1691210677699,384,Product Catalog/Get products/products-1,502,Bad Gateway,Load Test Scenario 3 1-89,text,false,,606,230,18,18,https://product_catalog-1-f3543029.deta.app/products,384,0,71
1691210678073,20,Product Catalog/Delete products,429,Too Many Requests,Load Test Scenario 3 1-99,text,false,,321,318,18,18,http://product_catalog-1-f3543029.deta.app/products/3,20,0,0
1691210677649,476,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-88,text,true,,806,460,19,19,https://product_catalog-1-f3543029.deta.app/products,62,0,35
1691210677649,62,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-88,text,true,,361,230,19,19,http://product_catalog-1-f3543029.deta.app/products,62,0,35
1691210677711,414,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-88,text,true,,445,230,19,19,https://product_catalog-1-f3543029.deta.app/products,414,0,70
1691210677656,485,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-92,text,true,,806,460,19,19,https://product_catalog-1-f3543029.deta.app/products,56,0,33
1691210677656,56,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-92,text,true,,361,230,19,19,http://product_catalog-1-f3543029.deta.app/products,56,0,33
1691210677653,488,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-100,text,true,,806,460,19,19,https://product_catalog-1-f3543029.deta.app/products,46,0,30
1691210677713,428,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-92,text,true,,445,230,19,19,https://product_catalog-1-f3543029.deta.app/products,428,0,64
1691210677653,46,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-100,text,true,,361,230,19,19,http://product_catalog-1-f3543029.deta.app/products,46,0,30
1691210677699,442,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-100,text,true,,445,230,19,19,https://product_catalog-1-f3543029.deta.app/products,442,0,70
1691210677656,489,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-91,text,true,,806,460,19,19,https://product_catalog-1-f3543029.deta.app/products,55,0,33
1691210677656,55,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-91,text,true,,361,230,19,19,http://product_catalog-1-f3543029.deta.app/products,55,0,33
1691210677711,434,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-91,text,true,,445,230,19,19,https://product_catalog-1-f3543029.deta.app/products,434,0,58
1691210678125,23,Product Catalog/Create products,429,Too Many Requests,Load Test Scenario 3 1-88,text,false,,321,356,19,19,http://product_catalog-1-f3543029.deta.app/products,23,0,0
1691210678141,15,Product Catalog/Create products,429,Too Many Requests,Load Test Scenario 3 1-100,text,false,,321,356,19,19,http://product_catalog-1-f3543029.deta.app/products,15,0,0
1691210678150,18,Product Catalog/Update products,429,Too Many Requests,Load Test Scenario 3 1-88,text,false,,321,403,19,19,http://product_catalog-1-f3543029.deta.app/products/3,18,0,0
1691210678156,22,Product Catalog/Update products,429,Too Many Requests,Load Test Scenario 3 1-100,text,false,,321,403,19,19,http://product_catalog-1-f3543029.deta.app/products/3,21,0,0
1691210677657,527,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-87,text,true,,806,460,19,19,https://product_catalog-1-f3543029.deta.app/products,54,0,35
1691210677657,54,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-87,text,true,,361,230,19,19,http://product_catalog-1-f3543029.deta.app/products,54,0,35
1691210677711,473,Product Catalog/Get products/products,200,OK,Load Test Scenario 3 1-86,text,true,,806,460,19,19,https://product_catalog-1-f3543029.deta.app/products,39,0,17
1691210677711,473,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-87,text,true,,445,230,19,19,https://product_catalog-1-f3543029.deta.app/products,473,0,58
1691210677711,39,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-86,text,true,,361,230,19,19,http://product_catalog-1-f3543029.deta.app/products,39,0,17
1691210677751,433,Product Catalog/Get products/products-1,200,OK,Load Test Scenario 3 1-86,text,true,,445,230,19,19,https://product_catalog-1-f3543029.deta.app/products,433,0,69
1691210677656,530,Product Catalog/Get products/products,502,Bad Gateway,Load Test Scenario 3 1-97,text,false,,967,460,19,19,https://product_catalog-1-f3543029.deta.app/products,56,0,33
1691210677656,56,Product Catalog/Get products/products-0,302,Moved Temporarily,Load Test Scenario 3 1-97,text,true,,361,230,19,19,http://product_catalog-1-f3543029.deta.app/products,56,0,33
1691210677713,473,Product Catalog/Get products/products-1,502,Bad Gateway,Load Test Scenario 3 1-97,text,false,,606,230,19,19,https://product_catalog-1-f3543029.deta.app/products,473,0,68
1691210678169,18,Product Catalog/Delete products,429,Too Many Requests,Load Test Scenario 3 1-88,text,false,,321,318,19,19,http://product_catalog-1-f3543029.deta.app/products/3,18,0,0
